Brand,Model,Heel Drop (mm),Stack Height (mm),Weight (g),Carbon Plate,Rocker Type,Support/Stability,Category,Image,AffiliateLink
Adidas,Adizero Adios Pro 4,6,39,200,Yes,High,Neutral,Racing,adiospro4.jpg,https://www.sportsshoes.com/product/adi17824/adidas-adizero-adios-pro-4-men's-running-shoes---aw25
Adidas,Adizero EVO SL,6.5,38.7,224,No,Moderate,Neutral,Tempo,evosl.png,https://www.sportsshoes.com/product/adi17446/adidas-adizero-evo-sl-men's-running-shoes---ss26
Adidas,Adizero Duramo SL2,9,33,291,No,Flat,Neutral,Tempo,duramosl2.jpg,https://www.sportsshoes.com/product/adi18296/adidas-duramo-sl-2-men's-running-shoes---ss26
ASICS,Dynablast 5,8,31,260,No,Moderate,Neutral,Daily Trainer,dynablast5.jpg,https://www.sportsshoes.com/product/asi15812/asics-dynablast-5-men's-running-shoes---aw25
ASICS,Magic Speed 4,8,43.5,242,Yes,High,Neutral,Racing,magicspeed4.jpg,https://www.sportsshoes.com/product/asi15849/asics-magic-speed-4-men's-running-shoes---aw25
New Balance,FuelCell Rebel v5,6,33,227,No,Flat,Neutral,Tempo,rebelv5.jpg,https://www.sportsshoes.com/product/new696033/new-balance-fuelcell-rebel-v5-men's-running-shoes---aw25
Nike,Alphafly 3,8,38,218,Yes,Moderate,Neutral,Racing,alphafly3.jpg,https://www.sportsshoes.com/product/nik23903/nike-air-zoom-alphafly-next%25-3-men's-running-shoes---fa25
Nike,Pegasus 41,10,37,297,No,Flat,Neutral,Daily Trainer,pegasus41.jpg,https://www.sportsshoes.com/product/nik23956/nike-air-zoom-pegasus-41-men's-running-shoes
Nike,Pegasus Plus,10,35,245,No,Flat,Neutral,Daily Trainer,pegasusplus.jpg,https://www.sportsshoes.com/product/nik24514/nike-pegasus-plus-men's-running-shoes---ho25
Nike,Vaporfly 4,6,34,190,Yes,Moderate,Neutral,Racing,vaporfly4.jpg,https://www.sportsshoes.com/product/nik23919/nike-zoomx-vaporfly-next%25-4-men's-running-shoes---fa25
Nike,Vomero 18,10,46,325,No,Moderate,Neutral,Daily Trainer,vomero18.jpg,https://www.sportsshoes.com/product/nik24545/nike-vomero-18-men's-running-shoes---ho25
Nike,Winflo 11,10,37,325,No,Moderate,Neutral,Daily Trainer,winflo11.jpg,https://www.sportsshoes.com/product/nik24213/nike-air-winflo-11-men's-running-shoes---fa25
Nike,Zoom Fly 6,8,39.5,265,Yes,Moderate,Neutral,Racing,zoomfly6.jpg,https://www.sportsshoes.com/product/nik24504/nike-zoom-fly-6-men's-running-shoes---sp26
On,Cloudboom Strike,4,39.5,210,Yes,Moderate,Neutral,Racing,cloudboomstrike.jpg,https://www.sportsshoes.com/product/onr547/on-running-on-cloudboom-strike-men's-running-shoes---aw25
On,Cloudflow 4,8,36,246,No,Moderate,Neutral,Tempo,cloudflow4.jpg,https://www.sportsshoes.com/product/onr610/on-running-on-cloudflow-4-men's-running-shoes
Nike,Streakfly 2,4,27,145,Yes,High,Neutral,Racing,streakfly2.jpg,https://www.sportsshoes.com/product/nik24239/nike-zoomx-streakfly-2-running-shoes---fa25
ASICS,Novablast 5,8,41.5,255,No,Moderate,Neutral,Daily Trainer,novablast5.jpg,https://www.sportsshoes.com/product/asi15810/asics-novablast-5-men's-running-shoes---aw25
Asics,Metaspeed Tokyo Sky,5,39.5,170,Yes,Moderate,Neutral,Racing,metaspeedtokyosky.jpg,https://www.sportsshoes.com/product/asi15962/asics-metaspeed-sky-tokyo-running-shoes---ss26
Saucony,Endorphin Pro 4,8,39.5,212,Yes,High,Neutral,Racing,endorphinpro4.jpg,https://www.sportsshoes.com/product/sau5233/saucony-endorphin-pro-4-men's-running-shoes---aw25
Saucony,Endorphin Speed 5,8,36,237,nylon,Moderate,Neutral,Tempo,endorphinspeed5.jpg,https://www.sportsshoes.com/product/sau5192/saucony-endorphin-speed-5-men's-running-shoes---aw25
Asics,Sonicblast Tokyo,8,38,256,Nylon,Moderate,Neutral,Tempo,sonicblast.jpg,https://www.sportsshoes.com/product/asi16118/asics-sonicblast-tokyo-men's-running-shoes---aw25
Adidas,Supernova Rise 2,10,36,275,No,Moderate,Neutral,Daily Trainer,supernovarise2.jpg,https://www.sportsshoes.com/product/adi18478/adidas-supernova-rise-2-men's-running-shoes
Saucony,Ride 18,8,35,259,No,Flat,Neutral,Daily Trainer,ride18.jpg,https://www.sportsshoes.com/product/sau5205/saucony-ride-18-men's-running-shoes---aw25
Saucony,Endorphin Elite 2,8,39.5,199,Yes,High,Neutral,Racing,endorphinelite2.jpg,https://www.sportsshoes.com/product/sau5230/saucony-endorphin-elite-2-running-shoes---aw25
Nike ,Structure 26,10,36,321,No,Flat,Stable,Daily Trainer,structure26.jpg,https://www.sportsshoes.com/product/nik24242/nike-structure-26-men's-running-shoes---fa25
Saucony,Guide 18,6,35,272,No,Moderate,Stable,Daily Trainer,guide18.jpg,https://www.sportsshoes.com/product/sau5249/saucony-guide-18-men's-running-shoes---ss26
Hoka,Mach 6,5,37,232,No,Moderate,Neutral,Tempo,mach6.jpg,https://www.sportsshoes.com/product/hok3074/hoka-mach-6-men's-running-shoes---aw25
On,Cloud Monster 2,6,35,300,Nylon,Moderate,Neutral,Daily Trainer,cloudmonster2.jpg,https://www.sportsshoes.com/product/onr667/on-running-on-cloudmonster-2-men's-running-shoes---aw25
Nike,Vomero Plus,10,45,273,No,High,Neutral,Daily Trainer,vomeroplus.jpg,https://www.sportsshoes.com/product/nik24570/nike-vomero-plus-men's-running-shoes---sp26
Mizuno,Wave Sky Rise 6,9,37.5,260,No,Flat,Neutral,Daily Trainer,skyrise6.jpg,https://www.sportsshoes.com/product/miz6340/mizuno-wave-skyrise-6-men's-running-shoes---ss25
Hoka,Bondi 9,5,43,297,No,Moderate,Neutral,Daily Trainer,bondi9.jpg,https://www.sportsshoes.com/product/hok3052/hoka-bondi-9-men's-running-shoes---ss26
Asics,Gel kayano 32,8,40,300,No,Moderate,Stable,Daily Trainer,kayano32.jpg,https://www.sportsshoes.com/product/asi15817/asics-gel-kayano-32-men's-running-shoes---aw25
Adidas ,Boston 13,6,37,260,Yes,Moderate,Neutral,Tempo,boston13.jpg,https://www.sportsshoes.com/product/adi17832/adidas-adizero-boston-13-men's-running-shoes---aw25
Adidas ,Prime X3 Strung,7,50,285,Yes,High,Neutral,Racing,primex3.jpg,https://www.sportsshoes.com/product/adi17971/adidas-adizero-prime-x-3-strung-running-shoes---aw25
Adidas ,Questar 3,5,29,306,No,Flat,Neutral,Daily Trainer,questar3.jpg,https://www.sportsshoes.com/product/adi17694/adidas-questar-3-running-shoes
Adidas,Runfalcon 5,10,33,304,No,Moderate,Neutral,Daily Trainer,runfalcon5.jpg,https://www.sportsshoes.com/product/adi17534/adidas-runfalcon-5-men's-running-shoes---ss26
Adidas ,Response,10,29,327,No,Flat,Neutral,Daily Trainer,response.jpg,https://www.sportsshoes.com/product/adi17699/adidas-response-running-shoes
Adidas ,Galaxy 7,6,35,319,No,Moderate,Neutral,Daily Trainer,galaxy7.jpg,https://www.sportsshoes.com/product/adi17828/adidas-galaxy-7-men's-running-shoes---ss26
Adidas ,Takumi Sen 11,7,32,188,Yes,Moderate,Neutral,Racing,takumi11.jpg,https://www.sportsshoes.com/product/adi17974/adidas-adizero-takumi-sen-11-men's-running-shoes---aw25
Adidas ,Adios 9,7,27,176,No,Flat,Neutral,Tempo,adios9.jpg,https://www.sportsshoes.com/product/adi17454/adidas-adizero-adios-9-men's-running-shoes---aw25
Asics ,Gel Cumulus 27,8,38.5,275,No,Moderate,Neutral,Daily Trainer,cumulus27.jpg,https://www.sportsshoes.com/product/asi15843/asics-gel-cumulus-27-men's-running-shoes---aw25
Asics ,GT2000,8,36.5,270,No,Flat,Stable,Daily Trainer,gt2000.jpg,https://www.sportsshoes.com/product/asi16088/asics-gt-2000-14-men's-running-shoes---ss26
Asics,Gel Nimbus 27,8,43.5,305,No,Moderate,Neutral,Daily Trainer,nimbus27.jpg,https://www.sportsshoes.com/product/asi15835/asics-gel-nimbus-27-men's-running-shoes---aw25
Asics,Gel Noosa 16,5,33.5,215,No,Moderate,Neutral,Tempo,noosa16.jpg,https://www.sportsshoes.com/product/asi15851/asics-noosa-tri-16-men's-running-shoes---aw25
Asics,Superblast 2,8,45,249,No,High,Neutral,Daily Trainer,superblast2.jpg,https://www.sportsshoes.com/product/asi15953/asics-superblast-2-running-shoes
Asics,Glideride Max,6,44,287,No,High,Neutral,Daily Trainer,glideride.jpg,https://www.sportsshoes.com/product/asi15838/asics-glideride-max-men's-running-shoes---aw25
Asics,GT1000 14,8,34.5,265,No,Flat,Stable,Daily Trainer,gt100014.jpg,https://www.sportsshoes.com/product/asi15828/asics-gt-1000-14-men's-running-shoes---aw25
Asics,Metaspeed Tokyo Edge,5,39.5,170,Yes,Moderate,Neutral,Racing,metaspeededgetokyo.jpg,https://www.sportsshoes.com/product/asi15963/asics-metaspeed-edge-tokyo-running-shoes
Asics ,GT4000 4,8,28,310,No,Moderate,Stable,Daily Trainer,gt40004.jpg,https://www.sportsshoes.com/product/asi15823/asics-gt-4000-4-men's-running-shoes---aw25
Asics,Gel Excite 11,8,30,290,No,Moderate,Neutral,Daily Trainer,excite11.jpg,https://www.sportsshoes.com/product/asi15958/asics-gel-excite-11-men's-running-shoes---ss26
Asics,Gel Pulse 16,8,36,240,No,Flat,Neutral,Daily Trainer,pulse16.jpg,https://www.sportsshoes.com/product/asi15847/asics-gel-pulse-16-men's-running-shoes---aw25